cell_index,C_state,I_state,total_opportunity,n_supported_sender_receiver_pairs
744,5,2,71.46417,9
745,5,2,121.42772,9
746,5,2,82.213,9
747,5,2,129.27138,9
748,5,2,74.219246,9
749,5,2,143.72835,9
750,5,2,82.569145,9
751,2,2,56.794037,46
752,2,2,30.064215,61
753,2,2,39.612583,34
754,2,2,25.669672,34
755,2,2,44.94758,15
756,2,2,22.391068,23
757,2,2,32.82223,9
758,2,2,39.14597,8
759,2,2,26.822374,4
760,2,2,34.542328,4
761,2,2,26.258734,4
762,2,2,13.858534,4
763,5,2,26.300816,4
764,5,2,36.927963,4
765,5,2,9.760431,4
766,5,2,22.576014,4
767,5,2,15.938595,4
768,5,2,28.432869,4
769,5,2,36.04997,3
770,5,2,28.424381,1
771,5,2,17.175283,3
772,5,2,39.709965,3
773,5,2,24.635366,4
774,5,2,41.595387,4
775,5,2,42.10896,4
776,5,2,24.206997,4
777,5,2,41.164577,8
778,5,2,53.450134,8
779,5,2,68.73895,8
780,2,2,88.03804,32
781,5,2,45.908257,23
782,2,2,49.963478,33
783,2,2,108.32415,33
784,2,2,126.30247,34
785,2,2,62.3102,34
786,2,2,106.41012,34
787,2,2,52.596603,34
788,2,2,76.3421,35
789,2,5,106.02209,24
790,3,2,103.534256,35
791,3,2,60.134827,36
792,3,5,96.155594,35
793,3,2,82.84806,36
794,3,2,59.448166,36
795,3,5,70.44751,35
796,3,5,74.02234,61
797,3,5,63.432587,61
798,3,5,46.14278,47
799,3,5,23.263319,47
800,1,5,31.80355,79
801,0,5,136.29308,78
802,0,5,147.18045,79
803,0,5,155.98715,77
804,0,5,141.45074,77
805,1,5,136.5975,59
806,0,7,173.42809,60
807,1,7,160.25359,33
808,0,7,171.63773,33
809,0,7,182.76707,46
810,1,0,140.71364,33
811,1,0,81.21481,95
812,1,0,143.74461,94
813,0,7,175.99763,46
814,1,5,134.70125,61
815,1,0,153.46912,113
816,1,5,89.88254,116
817,1,0,144.08011,76
818,1,0,145.16328,113
819,1,0,154.53484,114
820,1,5,90.60402,95
821,1,5,144.10019,60
822,1,0,136.05269,76
823,1,0,132.36176,114
824,1,0,149.40186,24
825,1,0,139.03555,94
826,1,0,123.28314,34
827,1,0,143.22641,94
828,1,7,162.31345,34
829,1,0,126.612885,77
830,1,0,141.6549,113
831,1,0,150.35312,60
832,1,0,119.72945,93
833,1,0,132.56657,94
834,1,6,127.98383,94
835,1,0,48.555798,139
836,1,0,91.96603,77
837,6,6,34.746925,79
838,6,5,45.591255,61
839,6,5,76.533394,61
840,6,5,92.342255,47
841,6,5,54.575684,61
842,6,5,85.84585,61
843,6,6,49.72329,79
844,3,6,16.399017,63
845,0,6,33.11145,79
846,1,5,19.52338,79
847,1,5,71.16051,76
848,0,6,24.099186,78
849,1,5,41.26021,78
850,1,5,60.995445,79
851,1,0,89.16307,77
852,0,6,34.318756,36
853,3,5,34.558723,79
854,1,0,73.35397,96
855,1,0,89.00457,78
856,1,0,78.1108,78
857,1,0,60.491947,98
858,0,5,33.084255,79
859,1,0,51.562813,137
860,0,6,86.80914,78
861,0,0,64.36077,117
862,1,0,55.45346,119
863,0,0,98.894005,96
864,0,0,58.312904,78
865,0,0,19.262379,78
866,1,0,77.83525,95
867,3,0,76.64917,118
868,6,5,34.044975,79
869,0,6,23.325386,48
870,0,7,17.665392,96
871,1,0,68.14625,79
872,1,5,65.19416,78
873,1,0,87.09615,33
874,1,0,98.81666,77
875,1,0,59.57193,77
876,0,0,37.713623,79
877,1,0,72.07051,47
878,1,6,47.602253,47
879,2,2,74.041794,15
880,2,2,41.913082,24
881,2,6,34.767197,24
882,0,5,46.922043,62
883,0,5,70.64948,77
884,0,5,89.86267,62
885,6,5,88.754,62
886,0,5,98.66249,79
887,6,5,110.13991,62
888,6,5,133.44351,62
889,6,5,139.38858,62
890,6,5,117.55394,62
891,3,5,84.175,78
892,3,5,98.35025,62
893,6,5,171.2133,62
894,6,5,107.32218,61
895,6,6,174.6635,46
896,6,5,212.7657,46
897,6,6,155.951,34
898,6,6,93.00839,35
899,6,5,199.72882,23
900,6,5,226.91975,23
901,6,6,180.54944,24
902,6,5,228.34045,23
903,6,6,221.41663,24
904,6,6,233.65102,24
905,6,6,199.55359,24
906,6,6,271.13138,34
907,6,5,273.1885,23
908,6,6,241.09851,24
909,6,5,281.5547,23
910,6,5,303.0976,33
911,6,6,291.43848,24
912,6,6,241.87799,24
913,6,5,310.3147,23
914,6,6,279.65988,24
915,6,5,317.12677,33
