C_state,category,cell_A,cell_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,opportunity_relative_difference
0,same_I,162875,74428,0.588435709476471,0.615768551826477,0.36291137436793997,240,3104,0.5754386186599731
0,same_I,72826,90381,0.7877081036567688,0.6714981198310852,0.5680911370851827,214,3130,0.15736183524131775
0,same_I,114652,137473,0.48309126496315,0.6074910163879395,0.43855646597306497,60,3284,0.9458487629890442
0,same_I,117746,146330,0.26361924409866333,0.04615247622132301,0.2771187415040135,640,2704,0.031054839491844177
0,same_I,105491,76704,0.5056667923927307,0.4255810081958771,0.28139370373166894,314,3030,0.03660792484879494
0,same_I,10552,114097,0.24902381002902985,inf,0.6087625107907733,447,2897,0.7073653936386108
0,same_I,27025,65644,0.46895697712898254,inf,0.4590824115678589,530,2814,0.8002343773841858
0,same_I,132690,162262,0.4137648940086365,0.5444082617759705,0.3668099524149192,81,3263,0.7479742169380188
0,same_I,81233,165154,0.3713538646697998,0.48018378019332886,0.3399999579446753,490,2854,0.038835082203149796
0,same_I,39039,129667,0.3835412263870239,0.5545431971549988,0.33562321904107173,501,2843,0.005233493167907
0,same_I,59400,8800,0.5056912302970886,0.612520694732666,0.2967050451824157,168,3176,0.766784131526947
0,same_I,105618,134202,0.5952260494232178,0.4925258755683899,0.6633040958667541,61,3283,0.9838215112686157
0,same_I,147018,151872,0.5410283803939819,0.5800049901008606,0.3207279415057208,253,3091,0.6497505307197571
0,same_I,92006,139502,0.6043750643730164,inf,0.47417559447821045,22,3322,0.11955258250236511
0,same_I,103081,37682,0.44690582156181335,0.40021175146102905,0.3778359369725983,103,3241,0.13711270689964294
0,same_I,97509,128923,0.5007082223892212,0.5337040424346924,0.45913804527673874,206,3138,0.6166031956672668
0,same_I,42674,116267,0.4660892188549042,0.4911865293979645,0.4791637560376586,494,2850,0.6051140427589417
0,same_I,92118,126249,0.7407447695732117,0.45757943391799927,0.656448957498652,206,3138,0.951976478099823
0,same_I,128014,106329,0.6223393678665161,0.6755415797233582,0.6728125665076135,143,3201,0.4392954707145691
0,same_I,101280,117037,0.42042791843414307,0.4112420976161957,0.20297088312319644,152,3192,0.04713708534836769
0,same_I,134468,112902,0.1686931550502777,0.4091968536376953,0.32978736293032374,55,3289,0.5084771513938904
0,same_I,152785,107740,0.6139048337936401,0.5122918486595154,0.36100858399677316,234,3110,0.6265607476234436
0,same_I,164909,77062,0.4489591717720032,0.5474482178688049,0.6215267667955153,127,3217,0.252255916595459
0,same_I,90752,8437,0.3668425679206848,0.5590404272079468,0.3487948679160444,121,3223,0.18921290338039398
0,same_I,92194,102751,0.2956677973270416,0.4980034828186035,0.38230866120919915,238,3106,0.7138670086860657
0,same_I,125488,160037,0.3350757956504822,0.23162826895713806,0.26991066925852647,247,3097,0.010016059502959251
0,same_I,90845,149092,0.5687348246574402,0.5284621119499207,0.41235264024752416,265,3079,0.9131003022193909
0,same_I,135082,134655,0.725049614906311,0.3860449194908142,0.19302049824879797,22,3322,0.8259181976318359
0,same_I,4843,118894,0.34217846393585205,0.5141602158546448,0.4555089034772969,681,2663,0.21327418088912964
0,same_I,144779,79912,0.40076541900634766,0.6597508788108826,0.7186060548543968,322,3022,0.3141835629940033
0,same_I,93847,154319,0.5408545732498169,0.6935210824012756,0.492529989905823,152,3192,0.36772850155830383
0,same_I,148451,133108,0.429633229970932,0.7213302254676819,0.2767523581690029,484,2860,0.27181118726730347
0,same_I,65100,117770,0.509050190448761,inf,0.42098737077146153,844,2500,0.7456477284431458
0,same_I,38144,80456,0.6146292686462402,0.45070546865463257,0.4029857983679248,152,3192,0.7951099276542664
0,same_I,81951,107722,0.6642248034477234,0.35937803983688354,0.516964126824863,230,3114,0.9184293150901794
0,same_I,143944,26990,0.31384557485580444,0.341901957988739,0.3733217593225193,506,2838,0.4780958890914917
0,same_I,115373,146220,0.5234572291374207,0.31532397866249084,0.5087660263756135,81,3263,0.6457769870758057
0,same_I,13345,139846,0.3658228814601898,inf,0.2770116474874448,666,2678,0.13031546771526337
0,same_I,160818,102687,0.4834567904472351,0.5631735324859619,0.2424684563206484,213,3131,0.7645379900932312
0,same_I,10057,97337,0.5075662136077881,0.37730690836906433,0.6331746896365246,152,3192,0.900814950466156
0,same_I,103895,148629,0.694070041179657,0.7258904576301575,0.6055267206682093,112,3232,0.7510634660720825
0,same_I,106024,106274,0.514534056186676,0.27101290225982666,0.36775271110522156,223,3121,0.5555365085601807
0,same_I,77888,165196,0.5463383197784424,0.645272433757782,0.4631617874353259,22,3322,0.9646996259689331
0,same_I,130091,106671,0.527155876159668,0.26904720067977905,0.43557419875476944,112,3232,0.8621376752853394
0,same_I,37703,121133,0.4432179927825928,0.5828801989555359,0.21389691819106815,277,3067,0.5266764163970947
0,same_I,114320,123388,0.4138362407684326,0.270853728055954,0.5132579544981657,460,2884,0.8749720454216003
0,same_I,97109,147741,0.46051597595214844,inf,0.21627555327796433,227,3117,0.6319024562835693
0,same_I,161983,101480,0.3765919506549835,0.3307832181453705,0.6932028971881795,346,2998,0.9093372821807861
0,same_I,161536,113366,0.36697304248809814,0.6591161489486694,0.6087214242366488,482,2862,0.26449039578437805
0,same_I,96407,59160,0.541372537612915,0.14572322368621826,0.23956447884766097,76,3268,0.6433477401733398
0,same_I,112770,130353,0.256944864988327,0.36307403445243835,0.3817114017568457,508,2836,0.4501439034938812
0,same_I,101254,23420,0.5524466633796692,inf,0.46792874200815326,348,2996,0.8887948393821716
0,same_I,146613,112159,0.32365262508392334,0.33002617955207825,0.3126681806454261,111,3233,0.06391766667366028
0,same_I,97183,137950,0.4121895730495453,0.3801436126232147,0.5460831780777993,152,3192,0.04971499741077423
0,same_I,133953,107709,0.6655264496803284,0.2674388289451599,0.3952884729165872,369,2975,0.8571662306785583
0,same_I,35792,81313,0.6038951277732849,inf,0.4494359263655163,346,2998,0.3180285394191742
0,same_I,94771,100853,0.5376300811767578,0.5334312915802002,0.4326486223304663,118,3226,0.06552217155694962
0,same_I,144894,125547,0.5159879326820374,0.3155060410499573,0.5454665982664862,112,3232,0.5251240730285645
0,same_I,115316,4606,0.4514518082141876,inf,0.4284174345267374,114,3230,0.005175513681024313
0,same_I,143187,120230,0.2716188430786133,0.4628886580467224,0.4704486260563481,483,2861,0.08428734540939331
0,same_I,106736,44116,0.5310251116752625,0.3023357093334198,0.30929033307633325,483,2861,0.21059656143188477
0,same_I,79236,148845,0.591132640838623,inf,0.34959606176160807,315,3029,0.3727419078350067
0,same_I,93273,16731,0.35125666856765747,0.3684806823730469,0.5128575759844278,503,2841,0.5748976469039917
0,same_I,107607,83363,0.20710720121860504,inf,0.288826836518128,121,3223,0.33285030722618103
0,same_I,133731,119904,0.3372507095336914,inf,0.2927285853743772,464,2880,0.27063462138175964
0,same_I,36021,109136,0.6027272343635559,0.1504257172346115,0.7572162437726221,673,2671,0.9924833178520203
0,same_I,145299,136687,0.49496573209762573,0.5905297994613647,0.6131481546543897,166,3178,0.19939236342906952
0,same_I,126468,35637,0.5835939645767212,inf,0.16926939752522518,81,3263,0.56876140832901
0,same_I,161789,138682,0.4425947368144989,0.4790489673614502,0.407483205181683,407,2937,0.2947196066379547
0,same_I,164754,17472,0.2973271608352661,0.5607740879058838,0.39557135057921555,508,2836,0.7389489412307739
0,same_I,158651,107764,0.44345036149024963,0.5035426616668701,0.5178174177400884,147,3197,0.4380858540534973
0,same_I,40331,9166,0.5434350967407227,0.5340963006019592,0.567948985161773,357,2987,0.4108283817768097
0,same_I,147882,94057,0.4272293746471405,0.639107346534729,0.4535288610192345,226,3118,0.40732675790786743
0,same_I,34838,31580,0.341338187456131,0.2492784559726715,0.23369034497513486,307,3037,0.2792131006717682
0,same_I,77583,118498,0.2881016135215759,0.222654327750206,0.23405665377547724,682,2662,0.17310988903045654
