C_state,I_state,sender,receiver,composition_pair_availability
0,0,Mast_Cells,B_Cells,5.068955579190515e-05
0,0,Mast_Cells,CD4+_T_Cells,1.2520992640929762e-05
0,0,Mast_Cells,CD8+_T_Cells,4.632124910131097e-05
0,0,Mast_Cells,DCIS_1,0.0
0,0,Mast_Cells,DCIS_2,5.96187021528749e-07
0,0,Mast_Cells,Endothelial,0.0001045270255417563
0,0,Mast_Cells,IRF7+_DCs,3.8025428135577327e-19
0,0,Mast_Cells,Invasive_Tumor,0.00020586718164850026
0,0,Mast_Cells,LAMP3+_DCs,0.0
0,0,Mast_Cells,Macrophages_1,6.847434269730002e-05
0,0,Mast_Cells,Macrophages_2,1.0652915989339817e-05
0,0,Mast_Cells,Mast_Cells,0.00015501647430937737
0,0,Mast_Cells,Myoepi_ACTA2+,0.0
0,0,Mast_Cells,Myoepi_KRT15+,0.0
0,0,Mast_Cells,Perivascular-Like,7.749908945697825e-06
0,0,Mast_Cells,Prolif_Invasive_Tumor,2.3884982510935515e-05
0,0,Mast_Cells,Stromal,0.0007403543568216264
0,0,Mast_Cells,Stromal_&_T_Cell_Hybrid,4.279577012766822e-07
0,0,Mast_Cells,T_Cell_&_Tumor_Hybrid,0.00011538587568793446
0,0,Mast_Cells,Unlabeled,2.6635307222022675e-05
0,0,Myoepi_ACTA2+,B_Cells,8.037558291107416e-05
0,0,Myoepi_ACTA2+,CD4+_T_Cells,8.663874177727848e-05
0,0,Myoepi_ACTA2+,CD8+_T_Cells,0.00019884617358911783
0,0,Myoepi_ACTA2+,DCIS_1,1.7805028619477525e-05
0,0,Myoepi_ACTA2+,DCIS_2,0.00032904025283642113
0,0,Myoepi_ACTA2+,Endothelial,0.0001561967801535502
0,0,Myoepi_ACTA2+,IRF7+_DCs,7.06547211848374e-07
0,0,Myoepi_ACTA2+,Invasive_Tumor,0.00045487924944609404
0,0,Myoepi_ACTA2+,LAMP3+_DCs,4.4615310912377026e-07
0,0,Myoepi_ACTA2+,Macrophages_1,0.0003626419056672603
0,0,Myoepi_ACTA2+,Macrophages_2,4.112417082069442e-05
0,0,Myoepi_ACTA2+,Mast_Cells,0.0
0,0,Myoepi_ACTA2+,Myoepi_ACTA2+,0.000838213600218296
0,0,Myoepi_ACTA2+,Myoepi_KRT15+,0.0
0,0,Myoepi_ACTA2+,Perivascular-Like,1.7241112800547853e-05
0,0,Myoepi_ACTA2+,Prolif_Invasive_Tumor,7.172299228841439e-05
0,0,Myoepi_ACTA2+,Stromal,0.001552233356051147
0,0,Myoepi_ACTA2+,Stromal_&_T_Cell_Hybrid,1.6075666280812584e-05
0,0,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,4.921999425278045e-05
0,0,Myoepi_ACTA2+,Unlabeled,0.00022316821559797972
0,0,Myoepi_KRT15+,B_Cells,0.0
0,0,Myoepi_KRT15+,CD4+_T_Cells,0.0
0,0,Myoepi_KRT15+,CD8+_T_Cells,0.0
0,0,Myoepi_KRT15+,DCIS_1,0.0
0,0,Myoepi_KRT15+,DCIS_2,0.0
0,0,Myoepi_KRT15+,Endothelial,0.0
0,0,Myoepi_KRT15+,IRF7+_DCs,0.0
0,0,Myoepi_KRT15+,Invasive_Tumor,0.0
0,0,Myoepi_KRT15+,LAMP3+_DCs,0.0
0,0,Myoepi_KRT15+,Macrophages_1,0.0
0,0,Myoepi_KRT15+,Macrophages_2,0.0
0,0,Myoepi_KRT15+,Mast_Cells,0.0
0,0,Myoepi_KRT15+,Myoepi_ACTA2+,0.0
0,0,Myoepi_KRT15+,Myoepi_KRT15+,0.0
0,0,Myoepi_KRT15+,Perivascular-Like,0.0
0,0,Myoepi_KRT15+,Prolif_Invasive_Tumor,0.0
0,0,Myoepi_KRT15+,Stromal,0.0
0,0,Myoepi_KRT15+,Stromal_&_T_Cell_Hybrid,0.0
0,0,Myoepi_KRT15+,T_Cell_&_Tumor_Hybrid,0.0
0,0,Myoepi_KRT15+,Unlabeled,0.0
0,0,Perivascular-Like,B_Cells,5.2568375394912437e-05
0,0,Perivascular-Like,CD4+_T_Cells,9.249625873053446e-05
0,0,Perivascular-Like,CD8+_T_Cells,0.00021540228044614196
0,0,Perivascular-Like,DCIS_1,0.0
0,0,Perivascular-Like,DCIS_2,2.2339723727782257e-05
0,0,Perivascular-Like,Endothelial,0.0006037213024683297
0,0,Perivascular-Like,IRF7+_DCs,6.124724677647464e-06
0,0,Perivascular-Like,Invasive_Tumor,0.0008913797209970653
0,0,Perivascular-Like,LAMP3+_DCs,0.0
0,0,Perivascular-Like,Macrophages_1,0.00035572185879573226
0,0,Perivascular-Like,Macrophages_2,2.45419614657294e-05
0,0,Perivascular-Like,Mast_Cells,7.749908945697825e-06
0,0,Perivascular-Like,Myoepi_ACTA2+,1.7241112800547853e-05
0,0,Perivascular-Like,Myoepi_KRT15+,0.0
0,0,Perivascular-Like,Perivascular-Like,0.0003570248663891107
0,0,Perivascular-Like,Prolif_Invasive_Tumor,0.0002057267411146313
0,0,Perivascular-Like,Stromal,0.0016941955545917153
0,0,Perivascular-Like,Stromal_&_T_Cell_Hybrid,1.1733491191989742e-05
0,0,Perivascular-Like,T_Cell_&_Tumor_Hybrid,6.320278771454468e-05
0,0,Perivascular-Like,Unlabeled,0.00022944435477256775
0,0,Prolif_Invasive_Tumor,B_Cells,0.0006705308915115893
0,0,Prolif_Invasive_Tumor,CD4+_T_Cells,0.0007253275834955275
0,0,Prolif_Invasive_Tumor,CD8+_T_Cells,0.0012866302859038115
0,0,Prolif_Invasive_Tumor,DCIS_1,2.546669293224113e-06
0,0,Prolif_Invasive_Tumor,DCIS_2,9.908902575261891e-05
0,0,Prolif_Invasive_Tumor,Endothelial,0.002501854905858636
0,0,Prolif_Invasive_Tumor,IRF7+_DCs,3.998130341642536e-05
0,0,Prolif_Invasive_Tumor,Invasive_Tumor,0.00836280919611454
0,0,Prolif_Invasive_Tumor,LAMP3+_DCs,2.4995831608976005e-06
0,0,Prolif_Invasive_Tumor,Macrophages_1,0.003405605908483267
0,0,Prolif_Invasive_Tumor,Macrophages_2,0.00012070670345565304
0,0,Prolif_Invasive_Tumor,Mast_Cells,2.3884982510935515e-05
0,0,Prolif_Invasive_Tumor,Myoepi_ACTA2+,7.172299228841439e-05
0,0,Prolif_Invasive_Tumor,Myoepi_KRT15+,0.0
0,0,Prolif_Invasive_Tumor,Perivascular-Like,0.0002057267411146313
0,0,Prolif_Invasive_Tumor,Prolif_Invasive_Tumor,0.00382199021987617
0,0,Prolif_Invasive_Tumor,Stromal,0.01561224739998579
0,0,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,0.00015291817544493824
0,0,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,0.00035435098106972873
0,0,Prolif_Invasive_Tumor,Unlabeled,0.0015801439294591546
0,0,Stromal,B_Cells,0.006171104963868856
0,0,Stromal,CD4+_T_Cells,0.006950513459742069
0,0,Stromal,CD8+_T_Cells,0.013417539186775684
0,0,Stromal,DCIS_1,8.825820259517059e-05
0,0,Stromal,DCIS_2,0.0013130530714988708
0,0,Stromal,Endothelial,0.02417289838194847
0,0,Stromal,IRF7+_DCs,0.00033429975155740976
0,0,Stromal,Invasive_Tumor,0.08304738998413086
0,0,Stromal,LAMP3+_DCs,4.499814531300217e-05
0,0,Stromal,Macrophages_1,0.03736477345228195
0,0,Stromal,Macrophages_2,0.0014165694592520595
0,0,Stromal,Mast_Cells,0.0007403543568216264
0,0,Stromal,Myoepi_ACTA2+,0.001552233356051147
0,0,Stromal,Myoepi_KRT15+,0.0
0,0,Stromal,Perivascular-Like,0.0016941955545917153
0,0,Stromal,Prolif_Invasive_Tumor,0.01561224739998579
0,0,Stromal,Stromal,0.2495594322681427
0,0,Stromal,Stromal_&_T_Cell_Hybrid,0.001862450735643506
0,0,Stromal,T_Cell_&_Tumor_Hybrid,0.004502574913203716
0,0,Stromal,Unlabeled,0.01592716947197914
0,0,Stromal_&_T_Cell_Hybrid,B_Cells,0.00011566318426048383
0,0,Stromal_&_T_Cell_Hybrid,CD4+_T_Cells,0.00018770253518596292
0,0,Stromal_&_T_Cell_Hybrid,CD8+_T_Cells,0.00021875914535485208
0,0,Stromal_&_T_Cell_Hybrid,DCIS_1,0.0
0,0,Stromal_&_T_Cell_Hybrid,DCIS_2,1.3439985195873305e-05
0,0,Stromal_&_T_Cell_Hybrid,Endothelial,0.00029440916841849685
0,0,Stromal_&_T_Cell_Hybrid,IRF7+_DCs,1.2383025932649616e-05
0,0,Stromal_&_T_Cell_Hybrid,Invasive_Tumor,0.0005380239454098046
0,0,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,3.887721049977699e-06
0,0,Stromal_&_T_Cell_Hybrid,Macrophages_1,0.00041927440906874835
0,0,Stromal_&_T_Cell_Hybrid,Macrophages_2,1.9186250938219018e-05
0,0,Stromal_&_T_Cell_Hybrid,Mast_Cells,4.279577012766822e-07
0,0,Stromal_&_T_Cell_Hybrid,Myoepi_ACTA2+,1.6075666280812584e-05
0,0,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+,0.0
0,0,Stromal_&_T_Cell_Hybrid,Perivascular-Like,1.1733491191989742e-05
0,0,Stromal_&_T_Cell_Hybrid,Prolif_Invasive_Tumor,0.00015291817544493824
0,0,Stromal_&_T_Cell_Hybrid,Stromal,0.001862450735643506
0,0,Stromal_&_T_Cell_Hybrid,Stromal_&_T_Cell_Hybrid,0.0002763093216344714
0,0,Stromal_&_T_Cell_Hybrid,T_Cell_&_Tumor_Hybrid,4.052553777000867e-05
0,0,Stromal_&_T_Cell_Hybrid,Unlabeled,0.00016718693950679153
0,0,T_Cell_&_Tumor_Hybrid,B_Cells,0.00029156083473935723
0,0,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,0.00028422841569408774
0,0,T_Cell_&_Tumor_Hybrid,CD8+_T_Cells,0.00047873001312837005
0,0,T_Cell_&_Tumor_Hybrid,DCIS_1,0.0
0,0,T_Cell_&_Tumor_Hybrid,DCIS_2,2.9055177947157063e-05
0,0,T_Cell_&_Tumor_Hybrid,Endothelial,0.0007221025298349559
0,0,T_Cell_&_Tumor_Hybrid,IRF7+_DCs,2.1096517230034806e-05
0,0,T_Cell_&_Tumor_Hybrid,Invasive_Tumor,0.0017402882222086191
0,0,T_Cell_&_Tumor_Hybrid,LAMP3+_DCs,1.4809944559601718e-06
0,0,T_Cell_&_Tumor_Hybrid,Macrophages_1,0.0011831396259367466
0,0,T_Cell_&_Tumor_Hybrid,Macrophages_2,7.474872836610302e-05
