C_state,region_A,region_B,I_state_A,I_state_B,n_A,n_B,composition_JS,CCC_soft_JS,CCC_common_support_cosine,common_support_features,structural_zero_excluded_features,total_opportunity_median_A,total_opportunity_median_B,display_score
0,531,917,6,3,91,120,0.26527094455772054,0.5730707961394023,0.6945629162725948,1137,2207,63.71247100830078,2.369907855987549,0.8523379819524199
0,547,4184,3,7,32,32,0.2408344667385993,0.7819210149371997,0.6583221180446603,227,3117,17.406089782714844,10.957883834838867,0.8463149259531109
0,1112,3890,6,7,133,60,0.2226879874469129,0.5898941966334379,0.6433241445866745,1116,2228,11.277910232543945,84.10357666015625,0.8429687837312724
0,1098,4184,3,7,38,32,0.1989528513309185,0.6158822973168582,0.6342722508042702,339,3005,5.007700443267822,10.957883834838867,0.842947195716938
0,986,3890,6,7,621,60,0.23751386375996197,0.5610953773773864,0.6531996031665745,1094,2250,17.616920471191406,84.10357666015625,0.8428824316739346
1,328,3675,2,6,38,67,0.29630261677445346,0.8053803792159068,0.778891975926064,538,2806,148.32931518554688,49.203861236572266,0.8427097275592592
0,3881,4550,6,2,53,56,0.28582061724404056,0.6619113059881466,0.7291084466672175,989,2355,74.01402282714844,26.298667907714844,0.841090626484176
0,720,4021,6,3,42,31,0.267707587947027,0.6653200054206008,0.684949820095833,429,2915,6.7813615798950195,1.3702216148376465,0.8389750010794007
0,702,3890,3,7,47,60,0.2777683275520045,0.48623330852029706,0.7041352100399423,761,2583,3.347684383392334,84.10357666015625,0.8388454729933941
0,3892,6055,3,6,47,128,0.28373436826104687,0.5439410627612694,0.7188900215164524,868,2476,73.59689331054688,54.0205078125,0.8378740123483442
0,464,917,7,3,2403,120,0.2513977087727219,0.6094502425980841,0.6616009854008117,1723,1621,7.282663345336914,2.369907855987549,0.8375070161046587
0,917,4471,3,7,120,41,0.2778367264823362,0.6222336690314515,0.700635908801778,813,2531,2.369907855987549,4.180351734161377,0.8354129787142178
7,2428,3180,0,1,39,36,0.3088388203169713,0.9490692685905895,0.9647602463920426,212,3132,139.18414306640625,119.1571044921875,0.8340745218254826
0,852,4184,3,7,33,32,0.12589061051102862,0.4673121278788925,0.6238877614040876,339,3005,8.064168930053711,10.957883834838867,0.8338586416821381
0,3510,5214,7,3,44,48,0.2146359091086789,0.6419330842815728,0.6335177329824391,1043,2301,103.20319366455078,8.657819747924805,0.8337722896248003
0,4153,4475,3,7,31,35,0.2575833173529132,0.5432813507865293,0.6648710303449868,606,2738,7.541404724121094,9.042522430419922,0.8327576529510816
0,434,4184,3,7,45,32,0.2971131746669054,0.6613507509799642,0.7524815119833272,339,3005,5.069018363952637,10.957883834838867,0.830728379603644
0,3510,5202,7,3,44,42,0.2565744837343132,0.6508952618318908,0.6614836269432429,917,2427,103.20319366455078,4.470450401306152,0.8301455032166141
0,721,3518,3,6,44,64,0.2936456984222361,0.6260443442961775,0.7361238639058076,407,2937,31.275745391845703,43.889060974121094,0.8296273908725875
1,328,430,2,0,38,1952,0.2899856275559359,0.7623350888566625,0.7240122675493772,625,2719,148.32931518554688,67.94696044921875,0.8294762747722464
0,636,3569,7,6,40,41,0.2682655568209125,0.5787041233337252,0.6767936676234028,896,2448,41.72966003417969,88.25746154785156,0.8292172186002331
1,594,3698,5,6,39,50,0.2722044525230851,0.5670553692003188,0.6835008486649503,906,2438,82.17440032958984,76.68309020996094,0.8292172186002331
