region_id,C_state,I_state,n_cells,x_centroid_um,y_centroid_um,total_opportunity_median,supported_pairs_median,dominant_cell_types,C_centroid_0,C_centroid_1,C_centroid_2,C_centroid_3,C_centroid_4,C_centroid_5,C_centroid_6,C_centroid_7,C_centroid_8,C_centroid_9,C_centroid_10,C_centroid_11,C_centroid_12,C_centroid_13,C_centroid_14,C_centroid_15,C_centroid_16,C_centroid_17,C_centroid_18,C_centroid_19,CCC_soft_centroid_0,CCC_soft_centroid_1,CCC_soft_centroid_2,CCC_soft_centroid_3,CCC_soft_centroid_4,CCC_soft_centroid_5,CCC_soft_centroid_6,CCC_soft_centroid_7
5202,0,3,42,6149.8857421875,338.1938781738281,4.470450401306152,45.0,"Stromal, Macrophages_1, Unlabeled",0.06657365709543228,0.017300723120570183,0.04145834594964981,0.0,0.0,0.014661343768239021,0.04875168949365616,0.0,0.0,0.14382335543632507,0.01358654536306858,0.0,0.0,0.0,0.0,0.0,0.5643525123596191,0.00021199775801505893,0.0,0.08927983045578003,0.024237480014562607,0.0,0.0056891851127147675,0.5744935274124146,0.04243456572294235,0.1967065930366516,0.0732651948928833,0.08317340910434723
5214,0,3,48,6029.10205078125,607.8046875,8.657819747924805,47.0,"Stromal, Macrophages_1, Unlabeled",0.06268278509378433,0.038953643292188644,0.028294147923588753,0.0,0.00016392105317208916,0.07060132920742035,0.03281325474381447,0.0,0.0,0.12924520671367645,0.003393193706870079,0.0,0.0011386810801923275,0.0,0.0,0.0,0.5594565868377686,1.4171851944411173e-05,0.0011853474425151944,0.07205776125192642,0.01984487660229206,0.0,0.024055762216448784,0.5250597596168518,0.028021112084388733,0.13716916739940643,0.20062251389026642,0.06522675603628159
5221,0,5,83,6066.822265625,431.5321044921875,22.526992797851562,47.0,"Stromal, B_Cells, Unlabeled",0.10732406377792358,0.09305109083652496,0.06515765190124512,0.0,0.0,0.025928670540452003,0.002168551553040743,0.0,0.0013535782927647233,0.07137066125869751,0.001708792638964951,0.0,1.801394589051597e-08,0.0,0.0,0.0,0.5247864723205566,0.02159341238439083,0.0,0.08555706590414047,0.02450581081211567,0.0,0.0034135482273995876,0.23078078031539917,0.02208760939538479,0.5419997572898865,0.1245088130235672,0.052703678607940674
5234,6,7,35,5868.9541015625,328.6944885253906,171.9596710205078,61.0,"Macrophages_1, CD4+_T_Cells, CD8+_T_Cells",0.11533728986978531,0.21567074954509735,0.11587636172771454,0.0,0.0,0.0,0.0,0.0,0.004229885991662741,0.31761419773101807,0.035131510347127914,0.0,0.0,0.0,0.0,0.0,0.11379854381084442,0.02210615947842598,0.0,0.060235343873500824,4.5550586946774274e-05,2.382207389352189e-44,5.428752432855709e-22,0.11176549643278122,0.0003743802080862224,0.39933061599731445,0.0,0.48848390579223633
5241,6,6,30,5898.611328125,483.0180358886719,291.3751220703125,34.0,"CD4+_T_Cells, CD8+_T_Cells, Endothelial",0.042533110827207565,0.5224626064300537,0.2454550713300705,0.0,0.0,0.08767774701118469,0.0,0.0,0.04297548905014992,0.01948522962629795,0.0,0.0,0.0,0.0,0.023951444774866104,0.0,0.0,0.0,0.0,0.015459303744137287,0.0,0.0,1.401298464324817e-45,2.861644150426694e-18,0.0,0.24168570339679718,0.7583141922950745,0.0
5250,6,3,56,5871.5224609375,163.96360778808594,140.31375122070312,70.0,"CD4+_T_Cells, CD8+_T_Cells, Macrophages_1",0.09159316122531891,0.33736199140548706,0.13194158673286438,0.0,0.0,0.007710698992013931,0.03970489278435707,0.0,0.023440754041075706,0.13599149882793427,0.011847434565424919,0.0,0.0,0.0,0.0,0.0,0.1285896748304367,0.010459885001182556,0.0,0.08135849237442017,3.2820479075629674e-23,0.0,1.401298464324817e-45,0.527992844581604,0.0,0.3874306380748749,0.0030524192843586206,0.08152409642934799
5259,0,7,56,6476.6591796875,1497.417724609375,59.29560852050781,62.0,"Stromal, Macrophages_1, CD8+_T_Cells",0.028080886229872704,0.1021529883146286,0.09083151817321777,0.00019295977836009115,0.0,0.0472300723195076,0.02980307675898075,0.0,0.007257516495883465,0.167453795671463,0.0597202442586422,0.0,0.0005833011819049716,0.0,0.0,0.0,0.40371575951576233,0.00971086323261261,0.0,0.053266994655132294,0.004396074451506138,0.0,0.0021013447549194098,0.2417038232088089,0.005695505999028683,0.2437453269958496,0.05103997141122818,0.4513179659843445
5260,6,3,31,6457.01806640625,1572.9605712890625,207.74465942382812,62.0,"CD4+_T_Cells, CD8+_T_Cells, Macrophages_1",0.06928902864456177,0.40864336490631104,0.15170596539974213,0.0,0.0,0.0,0.04045446962118149,0.0,0.04057817533612251,0.12216046452522278,0.0,0.0,0.004971305374056101,0.0,0.009991414844989777,0.0,0.09431138634681702,0.004257896449416876,0.0,0.05363652482628822,2.802596928649634e-45,0.0,1.401298464324817e-45,0.5808433890342712,1.401298464324817e-45,0.4191565215587616,1.401298464324817e-45,2.882713185090971e-17
5354,4,4,42,6432.8125,3282.17236328125,82.2157211303711,34.0,"DCIS_1, Myoepi_KRT15+, Myoepi_ACTA2+",0.004294910468161106,0.0,0.024391602724790573,0.5424807071685791,0.011130375787615776,0.015025030821561813,0.0,0.015384368598461151,0.0,0.042623333632946014,0.0,0.0,0.10678812116384506,0.14427730441093445,0.0,0.0,0.06722203642129898,0.0,0.012951782904565334,0.013430378399789333,0.06346746534109116,0.18841654062271118,0.02086871862411499,0.017110468819737434,0.632164716720581,0.03432720899581909,0.040361396968364716,0.0032834524754434824
5363,0,7,76,6205.05126953125,3027.145263671875,40.473052978515625,61.0,"Stromal, B_Cells, Macrophages_2",0.17613644897937775,0.0667547881603241,0.0475577712059021,0.0,0.0,0.05158873274922371,0.0,0.0,0.0,0.08052077889442444,0.08898016065359116,0.0,0.0,0.0,0.0,0.0,0.44986844062805176,0.005456170532852411,0.0,0.033136673271656036,0.001355601823888719,0.0,3.334149362849148e-13,0.08727049827575684,0.0018653067527338862,0.2691882252693176,0.20513977110385895,0.4351806044578552
