grid_id,x,y,n_cells,C_state,I_state,C_margin,I_margin
221,1500.0,300.0,650,1,2,0.916229,0.07573882
222,1600.0,300.0,710,1,0,0.26171148,0.051065445
223,1700.0,300.0,732,1,5,0.4907193,0.22688961
224,1800.0,300.0,735,1,5,0.28474358,0.22718641
225,1900.0,300.0,781,0,5,0.034198195,0.0009987354
226,2000.0,300.0,826,2,1,0.08595857,0.0077112615
227,2100.0,300.0,828,5,1,0.6568539,0.7621415
228,2200.0,300.0,825,5,1,0.78156847,0.7032373
229,2300.0,300.0,737,5,1,0.28520384,0.08715114
230,2400.0,300.0,705,0,2,0.33472562,0.25441283
231,2500.0,300.0,634,1,2,0.6805955,0.0035894513
232,2600.0,300.0,637,1,5,0.885153,0.20018405
233,2700.0,300.0,607,1,5,0.8108339,0.037981212
234,2800.0,300.0,474,1,5,1.0,0.9843249
235,2900.0,300.0,337,1,5,0.6201121,0.08551431
236,3000.0,300.0,187,6,7,0.72622865,0.77471256
237,3100.0,300.0,84,0,7,0.04233682,1.0
238,3200.0,300.0,49,0,7,0.76432735,0.07075152
239,3300.0,300.0,51,6,6,0.25352478,0.9912368
240,3400.0,300.0,43,0,0,0.029155642,0.9244095
241,3500.0,300.0,40,7,7,0.28430173,0.13011855
242,3600.0,300.0,39,6,7,0.77327085,0.1912128
243,3700.0,300.0,38,6,6,1.0,1.0
244,3800.0,300.0,67,0,7,0.8094289,0.45641634
245,3900.0,300.0,105,0,0,0.34886894,0.48793852
246,4000.0,300.0,312,0,7,0.45707417,0.40786612
247,4100.0,300.0,602,6,0,0.5032575,0.2885092
248,4200.0,300.0,879,6,6,0.38775265,0.045520112
249,4300.0,300.0,1062,7,6,0.13110414,0.07486066
250,4400.0,300.0,1119,1,3,0.119555786,0.058617443
251,4500.0,300.0,1123,5,1,0.11808607,0.04241863
252,4600.0,300.0,1040,6,1,0.2051382,0.011979833
253,4700.0,300.0,1081,5,1,0.07610804,0.18463814
254,4800.0,300.0,1045,5,1,0.6111535,0.71281487
255,4900.0,300.0,982,5,1,0.56217945,0.09471136
256,5000.0,300.0,935,2,1,0.020885408,0.1611855
257,5100.0,300.0,950,0,3,0.083176464,0.1188674
258,5200.0,300.0,911,6,0,0.29572016,0.09826985
259,5300.0,300.0,898,5,4,0.07977906,0.0539546
260,5400.0,300.0,916,5,1,0.9492091,0.5987846
261,5500.0,300.0,1035,5,1,0.63384855,0.4316635
262,5600.0,300.0,1184,5,1,0.17188534,0.40079412
263,5700.0,300.0,1335,6,4,0.047638565,0.07230654
264,5800.0,300.0,1365,0,0,0.036246985,0.07627931
265,5900.0,300.0,1118,7,6,0.17245257,0.0020914376
266,6000.0,300.0,669,0,4,0.18009934,0.14290234
267,6100.0,300.0,296,7,7,0.079007655,0.2469548
268,6200.0,300.0,114,0,7,0.51045203,0.41147393
269,6300.0,300.0,74,0,7,0.98510575,1.0
270,6400.0,300.0,69,0,7,0.99999535,1.0
271,6500.0,300.0,83,0,7,0.99999535,1.0
272,6600.0,300.0,101,0,7,0.9999949,1.0
273,6700.0,300.0,114,0,4,0.81907487,0.27056813
274,6800.0,300.0,103,0,2,0.5665668,0.08259362
275,6900.0,300.0,106,0,7,0.5153534,0.30084637
276,7000.0,300.0,115,3,7,0.24199861,0.34931424
277,7100.0,300.0,129,0,2,0.8846989,0.50665927
278,7200.0,300.0,156,0,7,0.73725224,0.032393932
279,7300.0,300.0,150,0,7,0.86119866,0.19408014
280,7400.0,300.0,106,0,2,0.36286512,0.28902218
281,7500.0,300.0,71,3,2,0.6381438,0.7579522
282,7600.0,300.0,39,3,2,0.7811163,0.30195534
283,0.0,400.0,542,1,5,0.71474636,0.18677327
284,100.0,400.0,860,1,5,0.9208388,0.6196462
285,200.0,400.0,1014,1,5,0.7353933,0.15090623
286,300.0,400.0,968,1,5,0.47244143,0.34586692
287,400.0,400.0,930,5,5,0.16056871,0.103954196
288,500.0,400.0,938,1,1,0.09506905,0.22379184
289,600.0,400.0,1105,5,1,0.32248378,0.11436519
290,700.0,400.0,1286,5,1,0.39620492,0.28374198
291,800.0,400.0,1406,5,3,0.20650664,0.0452587
292,900.0,400.0,1332,5,3,0.07964659,0.39780077
293,1000.0,400.0,1213,1,1,0.18002486,0.37307215
294,1100.0,400.0,997,7,1,0.44046986,0.012668759
295,1200.0,400.0,779,5,1,0.12671518,0.10489605
296,1300.0,400.0,753,0,0,0.22070578,0.18505016
297,1400.0,400.0,582,0,6,0.15779164,0.22539166
298,1500.0,400.0,507,0,7,0.06733835,0.013449699
299,1600.0,400.0,586,1,5,0.71819144,0.17073524
300,1700.0,400.0,625,1,2,0.83164155,0.08209747
301,1800.0,400.0,684,1,5,0.37736207,0.15324855
302,1900.0,400.0,716,1,2,0.5874302,0.34168738
303,2000.0,400.0,735,0,0,0.19672562,0.090734035
304,2100.0,400.0,729,7,1,0.0611836,0.03260979
305,2200.0,400.0,760,0,1,0.25679648,0.04222253
306,2300.0,400.0,729,0,6,0.26263028,0.03980583
307,2400.0,400.0,710,1,5,0.4038387,0.42307943
308,2500.0,400.0,668,1,5,0.4354429,0.38781673
309,2600.0,400.0,652,1,2,0.42470667,0.07607624
310,2700.0,400.0,587,1,5,0.8258177,0.9520551
311,2800.0,400.0,565,1,5,0.4279325,0.55577564
312,2900.0,400.0,431,0,5,0.4427125,0.44160068
313,3000.0,400.0,253,0,0,0.30640957,0.14944199
314,3100.0,400.0,113,0,7,0.34774414,0.9745122
315,3200.0,400.0,62,7,2,0.04857847,0.03519976
316,3300.0,400.0,62,0,7,0.90975606,0.96089435
317,3400.0,400.0,54,0,7,0.69297177,0.51618797
318,3500.0,400.0,57,7,7,0.89984965,0.6514373
319,3600.0,400.0,54,0,0,0.48759866,0.109895736
320,3700.0,400.0,44,0,6,0.9133115,0.14657441
321,3800.0,400.0,82,0,7,0.18872884,0.4129857
322,3900.0,400.0,112,6,4,0.78776044,0.04037139
323,4000.0,400.0,349,0,4,0.6582749,0.04736072
324,4100.0,400.0,709,0,0,0.24192578,0.067886814
325,4200.0,400.0,1090,5,1,0.3908058,0.22697052
326,4300.0,400.0,1303,6,6,0.3000617,0.04776737
327,4400.0,400.0,1237,5,1,0.5043702,0.29669815
328,4500.0,400.0,1226,5,1,0.77157813,0.32909745
329,4600.0,400.0,1238,5,1,0.009736806,0.10978633
330,4700.0,400.0,1214,7,1,0.07004565,0.30533117
331,4800.0,400.0,1106,5,1,0.22073103,0.16182846
332,4900.0,400.0,1041,0,1,0.032950163,0.32242587
333,5000.0,400.0,1005,7,1,0.07455698,0.21841434
334,5100.0,400.0,967,5,1,0.5422638,0.22752416
335,5200.0,400.0,955,5,1,0.00651896,0.18738785
336,5300.0,400.0,896,6,6,0.018956453,0.049010515
337,5400.0,400.0,900,5,1,0.9076933,0.45970866
338,5500.0,400.0,902,5,1,1.0,0.6903459
339,5600.0,400.0,992,5,1,0.9125263,0.66236913
340,5700.0,400.0,1179,3,1,0.1952265,0.019627482
341,5800.0,400.0,1305,6,0,0.050417542,0.108382076
342,5900.0,400.0,1076,6,4,0.39389563,0.08530325
343,6000.0,400.0,771,0,6,0.60011363,0.40408692
344,6100.0,400.0,388,7,7,0.62066287,0.4678786
345,6200.0,400.0,154,0,4,0.82606345,0.018710285
346,6300.0,400.0,113,0,7,0.48516196,0.63736594
347,6400.0,400.0,89,0,7,0.9999951,0.9915489
348,6500.0,400.0,78,0,7,0.99999535,1.0
349,6600.0,400.0,100,0,2,0.37414908,0.19092739
350,6700.0,400.0,174,0,7,0.9014319,0.54731095
351,6800.0,400.0,184,0,7,0.9663046,0.42561975
352,6900.0,400.0,160,0,7,0.9882897,1.0
353,7000.0,400.0,124,0,7,0.9997309,1.0
354,7100.0,400.0,95,0,2,0.97428167,0.38066873
355,7200.0,400.0,95,0,0,0.77437043,0.09975758
356,7300.0,400.0,94,0,7,0.9769321,0.7309136
357,7400.0,400.0,73,0,7,0.9999968,1.0
358,7500.0,400.0,48,0,7,0.7628624,0.18924204
359,0.0,500.0,484,1,5,0.8811521,0.3043576
360,100.0,500.0,776,1,5,0.7350661,0.54098105
361,200.0,500.0,914,1,5,0.74775887,0.14218503
362,300.0,500.0,917,1,5,0.42273057,0.52959716
363,400.0,500.0,919,5,1,0.35132706,0.28205654
364,500.0,500.0,973,1,5,0.22622344,0.084201396
365,600.0,500.0,1099,5,1,0.2457875,0.02873686
366,700.0,500.0,1221,5,1,0.42717177,0.13008013
367,800.0,500.0,1356,5,1,0.25129518,0.30214608
368,900.0,500.0,1267,1,1,0.16191429,0.22621036
369,1000.0,500.0,1166,1,1,0.031484514,0.29429516
370,1100.0,500.0,985,7,1,0.0856778,0.19134048
371,1200.0,500.0,831,2,1,0.113568634,0.011869639
372,1300.0,500.0,721,5,1,0.102315456,0.0034282804
373,1400.0,500.0,544,0,7,0.2378497,0.28805274
374,1500.0,500.0,451,0,7,0.6598874,0.014233917
375,1600.0,500.0,498,1,5,0.115994155,0.023679763
376,1700.0,500.0,621,1,2,0.665661,0.0048771203
377,1800.0,500.0,689,1,5,0.9752375,0.03983298
378,1900.0,500.0,704,1,5,0.49183172,0.06202659
379,2000.0,500.0,718,1,5,0.85862076,0.009919405
380,2100.0,500.0,733,1,5,0.26432616,0.31095874
381,2200.0,500.0,781,0,6,0.30209777,0.12224513
382,2300.0,500.0,740,1,5,0.6861882,0.35538465
383,2400.0,500.0,710,3,5,0.12375677,0.25645435
384,2500.0,500.0,673,1,5,0.97700286,0.24914652
385,2600.0,500.0,627,1,5,0.5039693,0.5198727
386,2700.0,500.0,592,1,5,0.7765771,0.43765634
387,2800.0,500.0,555,1,5,0.99238586,0.1276924
388,2900.0,500.0,454,1,2,0.8203315,0.5174959
389,3000.0,500.0,297,0,2,0.15373051,0.010284513
390,3100.0,500.0,170,0,7,0.9520021,0.7179435
391,3200.0,500.0,69,0,7,0.9047812,0.5760015
392,3300.0,500.0,79,0,7,0.99999535,1.0
393,3400.0,500.0,80,0,7,0.99989265,0.62535536
394,3500.0,500.0,81,0,7,0.78764653,1.0
395,3600.0,500.0,69,6,0,0.20359,0.08561292
396,3700.0,500.0,57,0,7,0.35823876,1.0
397,3800.0,500.0,86,0,7,0.9792035,0.720371
398,3900.0,500.0,109,7,0,0.12823197,0.18340966
399,4000.0,500.0,285,0,0,0.3518639,0.049325824
400,4100.0,500.0,553,0,0,0.29623115,0.23125914
401,4200.0,500.0,935,5,1,0.08502136,0.15906245
402,4300.0,500.0,1237,5,1,0.6889243,0.18719628
403,4400.0,500.0,1311,5,1,0.1603952,0.23497842
404,4500.0,500.0,1288,5,1,0.14100184,0.35932136
405,4600.0,500.0,1198,6,0,0.024314582,0.06741163
406,4700.0,500.0,1052,7,1,0.029944912,0.083617955
407,4800.0,500.0,1001,5,1,0.48959607,0.6510644
408,4900.0,500.0,937,6,1,0.0068648458,0.17082715
409,5000.0,500.0,957,0,1,0.031783372,0.20513925
410,5100.0,500.0,934,7,1,0.014675394,0.12389657
411,5200.0,500.0,919,0,4,0.3464426,0.14435932
412,5300.0,500.0,915,6,1,0.37861472,0.0844658
413,5400.0,500.0,847,5,1,0.8832353,0.5425923
414,5500.0,500.0,812,5,1,0.95607865,0.6896591
415,5600.0,500.0,834,0,6,0.40567386,0.08637717
416,5700.0,500.0,998,0,4,0.26065725,0.06409311
417,5800.0,500.0,1080,6,4,0.178137,0.08868578
418,5900.0,500.0,932,6,4,0.7776421,0.15966901
419,6000.0,500.0,722,0,6,0.42449003,0.46850523
420,6100.0,500.0,395,0,7,0.075289756,0.09531461
421,6200.0,500.0,283,0,4,0.67226046,0.04682219
422,6300.0,500.0,219,0,7,0.9191854,0.64126414
423,6400.0,500.0,159,0,7,0.57566786,0.041816294
424,6500.0,500.0,111,0,7,0.9945517,1.0
425,6600.0,500.0,129,0,7,0.74439424,0.896331
426,6700.0,500.0,194,0,7,0.42146248,0.48649454
427,6800.0,500.0,213,1,7,0.8381828,0.35517582
428,6900.0,500.0,181,1,5,0.72534937,0.23877257
429,7000.0,500.0,137,0,7,0.97553605,0.5319476
430,7100.0,500.0,92,0,7,0.8051855,0.9874424
431,7200.0,500.0,104,0,0,0.7453524,0.18326965
432,7300.0,500.0,106,0,4,0.7813941,0.4614688
433,7400.0,500.0,155,0,2,0.6958966,0.27209064
434,7500.0,500.0,115,0,7,0.99999535,0.99014866
435,7600.0,500.0,54,0,7,0.99999535,0.9750141
436,0.0,600.0,395,1,5,0.48061645,0.020847589
437,100.0,600.0,695,1,5,0.011845261,0.43226248
438,200.0,600.0,875,1,5,0.9527808,0.26220474
439,300.0,600.0,915,1,5,0.41579312,0.13742962
440,400.0,600.0,969,3,1,0.04605028,0.028097242
441,500.0,600.0,1003,2,5,0.12161471,0.19116715
442,600.0,600.0,1081,5,1,0.7083397,0.23926431
443,700.0,600.0,1137,5,1,0.7350527,0.3550114
444,800.0,600.0,1147,5,1,0.7788433,0.3476643
445,900.0,600.0,1138,5,1,0.3618621,0.07119918
446,1000.0,600.0,1038,7,3,0.115168035,0.06006804
447,1100.0,600.0,922,5,1,0.68489265,0.8036746
448,1200.0,600.0,865,5,1,0.4478496,0.07773164
449,1300.0,600.0,712,5,5,0.10017711,0.175654
450,1400.0,600.0,537,0,2,0.4385727,0.097663045
451,1500.0,600.0,492,0,0,0.36877644,0.08800137
452,1600.0,600.0,501,1,5,0.5930958,0.06664309
453,1700.0,600.0,606,1,2,0.6327092,0.56185913
454,1800.0,600.0,702,1,2,0.55008346,0.43141448
455,1900.0,600.0,697,1,5,0.4662581,0.0713515
456,2000.0,600.0,723,1,5,0.96983063,0.12997714
457,2100.0,600.0,735,1,5,0.8560124,0.9965836
458,2200.0,600.0,760,1,5,0.8982183,0.48341697
459,2300.0,600.0,743,1,5,0.8952018,0.5992626
460,2400.0,600.0,738,1,5,0.5694855,0.11646193
461,2500.0,600.0,682,1,5,0.66121155,0.20193806
462,2600.0,600.0,642,1,5,0.9441485,0.4935596
463,2700.0,600.0,646,1,2,0.71190983,0.18749899
464,2800.0,600.0,627,1,5,0.92274517,0.39217147
465,2900.0,600.0,516,1,2,0.51833004,0.4665925
466,3000.0,600.0,380,0,2,0.45536613,0.08848271
467,3100.0,600.0,223,0,0,0.9257176,0.09651399
468,3200.0,600.0,113,0,0,0.9003572,0.14549404
469,3300.0,600.0,131,0,7,0.9999933,1.0
470,3400.0,600.0,132,0,6,0.92152464,0.18179446
471,3500.0,600.0,115,0,2,0.8327976,0.020454705
472,3600.0,600.0,102,0,0,0.68823576,0.38969034
473,3700.0,600.0,80,0,0,0.6684133,0.092164785
474,3800.0,600.0,70,0,7,0.0106138885,0.86125016
475,3900.0,600.0,84,5,0,0.06096843,0.12119478
476,4000.0,600.0,190,0,7,0.21462893,0.9055619
477,4100.0,600.0,398,0,4,0.7411364,0.19838926
478,4200.0,600.0,651,6,4,0.18309963,0.12063488
479,4300.0,600.0,951,6,4,0.29385,0.22833899
480,4400.0,600.0,1079,6,6,0.4185098,0.020313412
