ccc_id	program	loading	feature_index	sender	receiver	lr_id	pair_key	ligand	receptor	pathway	route_module	route	coverage	standard_deviation	filtered_column	full_coefficient	positive_selection_probability	negative_selection_probability	selection_probability	sign_selection_probability	mean_coefficient	mean_absolute_coefficient	direction	stability_importance	loading_rank
Endothelial->Endothelial|RETN--CAP1|RESISTIN	P3	0.0	38152	Endothelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0068143174253279	19987	-0.05515586	0.0	0.74	0.74	0.74	-0.024520349	0.024520349	protective	0.018145058080554	23
Endothelial->Endothelial|JAM3--JAM2|JAM	P4	0.2151932365774005	37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	1
Endothelial->Endothelial|JAM2--JAM3|JAM	P4	0.21517755722850523	37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	2
Cancer epithelial->Endothelial|JAM3--JAM2|JAM	P4	0.14947550514838998	27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	3
Endothelial->Cancer epithelial|JAM2--JAM3|JAM	P4	0.14946793309058462	36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	4
Cancer epithelial->Endothelial|JAM2--JAM3|JAM	P4	0.1294708093047031	27254	Cancer epithelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0013970702465243	13177	-0.06449847	0.0	0.82	0.82	0.82	-0.029937372	0.029937372	protective	0.024548644721508	5
Endothelial->Cancer epithelial|JAM3--JAM2|JAM	P4	0.12946969709804565	36057	Endothelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0014826374251148	18353	-0.06424285	0.0	0.82	0.82	0.82	-0.029908055	0.029908055	protective	0.0245246054604649	6
Endothelial->Endothelial|RETN--TLR4|RESISTIN	P4	0.0047056573919941145	38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	7
Endothelial->Endothelial|RETN--CAP1|RESISTIN	P4	0.001905138307458785	38152	Endothelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0068143174253279	19987	-0.05515586	0.0	0.74	0.74	0.74	-0.024520349	0.024520349	protective	0.018145058080554	8
Endothelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P4	0.0018034754390092785	37168	Endothelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Endothelial|CDH1	0.9973045822102424	0.0025089551364111	19188	-0.08363223	0.02	0.76	0.78	0.76	-0.038990714	0.03900076	protective	0.0296405781805515	9
Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30	P4	0.0016377545069311931	38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	10
Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30	P4	0.001517068668458569	27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	11
Endothelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P4	0.0001608239883625607	35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102424	0.0025045072068154	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.0316878288984298	12
Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN	P4	1.53432501564057e-05	27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	13
Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN	P4	0.0	36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	14
Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN	P4	0.0	25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	15
Cancer epithelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P4	0.0	26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102424	0.0242850649440626	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.0319475084543228	16
Endothelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P4	0.0	35551	Endothelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Endothelial->Cancer epithelial|COLLAGEN	0.9973045822102424	0.0005941188103243	17965	-0.06579441	0.0	0.8	0.8	0.8	-0.028183147	0.028183147	protective	0.0225465178489685	17
Cancer epithelial->Cancer epithelial|JAM2--JAM3|JAM	P4	0.0	25494	Cancer epithelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004588015753557	11818	-0.04592386	0.0	0.8	0.8	0.8	-0.02669312	0.02669312	protective	0.0213544964790344	18
Cancer epithelial->Cancer epithelial|JAM3--JAM2|JAM	P4	0.0	25497	Cancer epithelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004818979339915	11821	-0.045665164	0.0	0.8	0.8	0.8	-0.02665697	0.02665697	protective	0.0213255763053894	19
Cancer epithelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P4	0.0	24848	Cancer epithelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Cancer epithelial|CDH1	1.0	0.0245333263582538	11301	-0.066591024	0.0	0.78	0.78	0.78	-0.0365383	0.0365383	protective	0.028499873355031	20
Cancer epithelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P4	0.0	24991	Cancer epithelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Cancer epithelial->Cancer epithelial|COLLAGEN	1.0	0.0002679663903931	11430	-0.05108519	0.0	0.78	0.78	0.78	-0.024753718	0.024753718	protective	0.0193078998103737	21
Endothelial->Cancer epithelial|RETN--CAP1|RESISTIN	P4	0.0	36392	Endothelial	Cancer epithelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0044258600532855	18625	-0.05529628	0.02	0.74	0.76	0.74	-0.02454539	0.024546273	protective	0.0181642420589923	22
Cancer epithelial->Endothelial|RETN--CAP1|RESISTIN	P4	0.0	27592	Cancer epithelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.002666475804598	13461	-0.040095523	0.0	0.72	0.72	0.72	-0.02262923	0.02262923	protective	0.0162930451333522	23
Cancer epithelial->Endothelial|RETN--CAP1|RESISTIN	P5	0.3339428256933932	27592	Cancer epithelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.002666475804598	13461	-0.040095523	0.0	0.72	0.72	0.72	-0.02262923	0.02262923	protective	0.0162930451333522	1
Endothelial->Cancer epithelial|RETN--CAP1|RESISTIN	P5	0.3326076972297987	36392	Endothelial	Cancer epithelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0044258600532855	18625	-0.05529628	0.02	0.74	0.76	0.74	-0.02454539	0.024546273	protective	0.0181642420589923	2
Endothelial->Endothelial|RETN--CAP1|RESISTIN	P5	0.3263791472293425	38152	Endothelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0068143174253279	19987	-0.05515586	0.0	0.74	0.74	0.74	-0.024520349	0.024520349	protective	0.018145058080554	3
Endothelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P5	0.0014618359714735258	37168	Endothelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Endothelial|CDH1	0.9973045822102424	0.0025089551364111	19188	-0.08363223	0.02	0.76	0.78	0.76	-0.038990714	0.03900076	protective	0.0296405781805515	4
Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30	P5	0.0012111540163422235	27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	5
Cancer epithelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P5	0.0010571227851545596	24991	Cancer epithelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Cancer epithelial->Cancer epithelial|COLLAGEN	1.0	0.0002679663903931	11430	-0.05108519	0.0	0.78	0.78	0.78	-0.024753718	0.024753718	protective	0.0193078998103737	6
Endothelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P5	0.0009275726274496535	35551	Endothelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Endothelial->Cancer epithelial|COLLAGEN	0.9973045822102424	0.0005941188103243	17965	-0.06579441	0.0	0.8	0.8	0.8	-0.028183147	0.028183147	protective	0.0225465178489685	7
Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30	P5	0.0008211332535472398	38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	8
Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN	P5	0.0005625049486439274	36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	9
Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN	P5	0.00035760164885273823	25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	10
Cancer epithelial->Endothelial|JAM3--JAM2|JAM	P5	0.0002990753766494241	27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	11
Endothelial->Cancer epithelial|JAM2--JAM3|JAM	P5	0.00029771941222822275	36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	12
Cancer epithelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P5	4.469038164754928e-05	24848	Cancer epithelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Cancer epithelial|CDH1	1.0	0.0245333263582538	11301	-0.066591024	0.0	0.78	0.78	0.78	-0.0365383	0.0365383	protective	0.028499873355031	13
Endothelial->Endothelial|RETN--TLR4|RESISTIN	P5	2.9919425476429075e-05	38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	14
Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN	P5	0.0	27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	15
Endothelial->Endothelial|JAM2--JAM3|JAM	P5	0.0	37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	16
Endothelial->Endothelial|JAM3--JAM2|JAM	P5	0.0	37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	17
Cancer epithelial->Endothelial|JAM2--JAM3|JAM	P5	0.0	27254	Cancer epithelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0013970702465243	13177	-0.06449847	0.0	0.82	0.82	0.82	-0.029937372	0.029937372	protective	0.024548644721508	18
Endothelial->Cancer epithelial|JAM3--JAM2|JAM	P5	0.0	36057	Endothelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0014826374251148	18353	-0.06424285	0.0	0.82	0.82	0.82	-0.029908055	0.029908055	protective	0.0245246054604649	19
Cancer epithelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P5	0.0	26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102424	0.0242850649440626	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.0319475084543228	20
Endothelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P5	0.0	35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102424	0.0025045072068154	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.0316878288984298	21
Cancer epithelial->Cancer epithelial|JAM2--JAM3|JAM	P5	0.0	25494	Cancer epithelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004588015753557	11818	-0.04592386	0.0	0.8	0.8	0.8	-0.02669312	0.02669312	protective	0.0213544964790344	22
Cancer epithelial->Cancer epithelial|JAM3--JAM2|JAM	P5	0.0	25497	Cancer epithelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004818979339915	11821	-0.045665164	0.0	0.8	0.8	0.8	-0.02665697	0.02665697	protective	0.0213255763053894	23
Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN	P6	0.258062602773639	27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	1
Endothelial->Cancer epithelial|RETN--TLR4|RESISTIN	P6	0.25676851518618976	36393	Endothelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0003312425394245	18626	-0.09975618	0.02	0.88	0.9	0.88	-0.042409815	0.04243342	protective	0.0373414081335067	2
Cancer epithelial->Cancer epithelial|RETN--TLR4|RESISTIN	P6	0.24219627636127375	25833	Cancer epithelial	Cancer epithelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Cancer epithelial|RESISTIN	1.0	0.000150234157386	12086	-0.061274227	0.0	0.82	0.82	0.82	-0.035224862	0.035224862	protective	0.0288843871653079	3
Endothelial->Endothelial|RETN--TLR4|RESISTIN	P6	0.23564466605647452	38153	Endothelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Endothelial->Endothelial|RESISTIN	0.9973045822102424	0.0033170517858152	19988	-0.09967209	0.02	0.88	0.9	0.88	-0.042576704	0.042579707	protective	0.0374701419472694	4
Endothelial->Cancer epithelial|RETN--CAP1|RESISTIN	P6	0.003923080355928928	36392	Endothelial	Cancer epithelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Endothelial->Cancer epithelial|RESISTIN	0.9973045822102424	0.0044258600532855	18625	-0.05529628	0.02	0.74	0.76	0.74	-0.02454539	0.024546273	protective	0.0181642420589923	5
Cancer epithelial->Endothelial|RETN--CAP1|RESISTIN	P6	0.0027582087258872703	27592	Cancer epithelial	Endothelial	RETN--CAP1|RESISTIN	RETN--CAP1	RETN	CAP1	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.002666475804598	13461	-0.040095523	0.0	0.72	0.72	0.72	-0.02262923	0.02262923	protective	0.0162930451333522	6
Cancer epithelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P6	0.0005202719616111993	24848	Cancer epithelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Cancer epithelial|CDH1	1.0	0.0245333263582538	11301	-0.066591024	0.0	0.78	0.78	0.78	-0.0365383	0.0365383	protective	0.028499873355031	7
Endothelial->Cancer epithelial|JAM3--JAM2|JAM	P6	6.481097933222205e-05	36057	Endothelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0014826374251148	18353	-0.06424285	0.0	0.82	0.82	0.82	-0.029908055	0.029908055	protective	0.0245246054604649	8
Cancer epithelial->Endothelial|JAM2--JAM3|JAM	P6	6.156759966307286e-05	27254	Cancer epithelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0013970702465243	13177	-0.06449847	0.0	0.82	0.82	0.82	-0.029937372	0.029937372	protective	0.024548644721508	9
Endothelial->Endothelial|TNFSF8--TNFRSF8|CD30	P6	0.0	38338	Endothelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Endothelial->Endothelial|CD30	0.9973045822102424	0.0007351936178987	20139	-0.18894725	0.0	0.84	0.84	0.84	-0.051287316	0.051287316	protective	0.0430813452601432	10
Cancer epithelial->Endothelial|TNFSF8--TNFRSF8|CD30	P6	0.0	27778	Cancer epithelial	Endothelial	TNFSF8--TNFRSF8|CD30	TNFSF8--TNFRSF8	TNFSF8	TNFRSF8	CD30	CD30	Cancer epithelial->Endothelial|CD30	0.9973045822102424	0.0002443601088254	13610	-0.18711387	0.0	0.84	0.84	0.84	-0.050256837	0.050256837	protective	0.0422157432138919	11
Endothelial->Cancer epithelial|JAM2--JAM3|JAM	P6	0.0	36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	12
Cancer epithelial->Endothelial|JAM3--JAM2|JAM	P6	0.0	27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	13
Endothelial->Endothelial|JAM2--JAM3|JAM	P6	0.0	37814	Endothelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.0476998561590232	19708	-0.06850257	0.0	0.82	0.82	0.82	-0.031319726	0.031319726	protective	0.0256821755319833	14
Endothelial->Endothelial|JAM3--JAM2|JAM	P6	0.0	37817	Endothelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Endothelial|JAM	0.9973045822102424	0.054155350991598	19711	-0.06824484	0.0	0.82	0.82	0.82	-0.03128243	0.03128243	protective	0.0256515914946794	15
Cancer epithelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P6	0.0	26608	Cancer epithelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Endothelial|CDH1	0.9973045822102424	0.0242850649440626	12649	-0.084485054	0.02	0.8	0.8200000000000001	0.8	-0.039923374	0.039934386	protective	0.0319475084543228	16
Endothelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P6	0.0	35408	Endothelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Cancer epithelial|CDH1	0.9973045822102424	0.0025045072068154	17838	-0.08446871	0.0	0.8	0.8	0.8	-0.039609786	0.039609786	protective	0.0316878288984298	17
Endothelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P6	0.0	35551	Endothelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Endothelial->Cancer epithelial|COLLAGEN	0.9973045822102424	0.0005941188103243	17965	-0.06579441	0.0	0.8	0.8	0.8	-0.028183147	0.028183147	protective	0.0225465178489685	18
Cancer epithelial->Cancer epithelial|JAM2--JAM3|JAM	P6	0.0	25494	Cancer epithelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004588015753557	11818	-0.04592386	0.0	0.8	0.8	0.8	-0.02669312	0.02669312	protective	0.0213544964790344	19
Cancer epithelial->Cancer epithelial|JAM3--JAM2|JAM	P6	0.0	25497	Cancer epithelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004818979339915	11821	-0.045665164	0.0	0.8	0.8	0.8	-0.02665697	0.02665697	protective	0.0213255763053894	20
Cancer epithelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P6	0.0	24991	Cancer epithelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Cancer epithelial->Cancer epithelial|COLLAGEN	1.0	0.0002679663903931	11430	-0.05108519	0.0	0.78	0.78	0.78	-0.024753718	0.024753718	protective	0.0193078998103737	21
Endothelial->Endothelial|CDH1--ITGAE_ITGB7|CDH1	P6	0.0	37168	Endothelial	Endothelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Endothelial->Endothelial|CDH1	0.9973045822102424	0.0025089551364111	19188	-0.08363223	0.02	0.76	0.78	0.76	-0.038990714	0.03900076	protective	0.0296405781805515	22
