niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,log2_relative_enrichment,local_celltype_entropy,mannwhitney_u,p_greater_raw,relative_enrichment_0to1,across_niche_entropy
I7,Mast_Cells,10566,0.001579264689450886,0.0010145786914361784,0.6383722250522452,0.3071439608687151,760101274.5,1.0,0.0005652594982567708,0.9536891079147003
I0,Myoepi_ACTA2+,16248,0.011364074398295641,0.043468051895408207,-1.935475258106447,0.5661152581255517,1108362055.5,1.0,0.0,0.6139829581114337
I1,Myoepi_ACTA2+,23403,0.16606639303540252,0.043468051895408207,1.9337327986581925,0.4467149903544271,2982517190.0,0.0,0.12816962505322282,0.6139829581114337
I2,Myoepi_ACTA2+,15207,0.011140823083679084,0.043468051895408207,-1.9640996169251481,0.4623983069973387,694562263.0,1.0,0.0,0.6139829581114337
I3,Myoepi_ACTA2+,26378,0.08053872973685788,0.043468051895408207,0.8897272782451198,0.4886107604645096,2996349924.0,0.0,0.03875529501644643,0.6139829581114337
I4,Myoepi_ACTA2+,14194,0.006114166852676333,0.043468051895408207,-2.8297276113715966,0.5806666669476215,1027882182.5,1.0,0.0,0.6139829581114337
I5,Myoepi_ACTA2+,43601,0.00585011494346273,0.043468051895408207,-2.8934185634312817,0.5571912306342269,972331364.0,1.0,0.0,0.6139829581114337
I6,Myoepi_ACTA2+,16766,0.02370679741055109,0.043468051895408207,-0.8746546598898788,0.5359106532907392,1326016433.5,2.449434330052131e-36,0.0,0.6139829581114337
I7,Myoepi_ACTA2+,10566,0.012037442690748922,0.043468051895408207,-1.8524265102815982,0.4245538642524408,613299674.5,1.0,0.0,0.6139829581114337
I0,Myoepi_KRT15+,16248,0.0022181891989396687,0.017390292809296663,-2.970827894126223,0.4965871288179341,1081920252.0,1.0,0.0,0.5094811431760989
I1,Myoepi_KRT15+,23403,0.03258160592322715,0.017390292809296663,0.9057754907006372,0.42104479237994563,2380196536.0,0.0,0.015460169997060878,0.5094811431760989
I2,Myoepi_KRT15+,15207,0.0038638692700675263,0.017390292809296663,-2.170164035906028,0.47123492163134917,783578423.5,1.0,0.0,0.5094811431760989
I3,Myoepi_KRT15+,26378,0.06786737967770326,0.017390292809296663,1.9644360882273593,0.4054154894089547,3315686608.0,0.0,0.05137043375311383,0.5094811431760989
I4,Myoepi_KRT15+,14194,0.0022461955832533582,0.017390292809296663,-2.952726765411219,0.5475826771175689,1037518145.5,1.0,0.0,0.5094811431760989
I5,Myoepi_KRT15+,43601,5.462147820290379e-05,0.017390292809296663,-8.314598124771509,0.49699098442412987,1265740300.0,1.0,0.0,0.5094811431760989
I6,Myoepi_KRT15+,16766,0.010747206858473055,0.017390292809296663,-0.6943204643832389,0.42731519518523514,1196181281.0,1.0,0.0,0.5094811431760989
I7,Myoepi_KRT15+,10566,0.0029469523575659123,0.017390292809296663,-2.5609865816653685,0.38536025985693534,660499541.0,1.0,0.0,0.5094811431760989
I0,Perivascular-Like,16248,0.006611164207325265,0.005334534373413255,0.3095419981361632,0.572422564948417,1307812334.0,3.8092561355412334e-53,0.001283476583866114,0.9261026807826329
